,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"log_lik[30,2,24]",-0.707431,0.00541467,0.3597,0.308714,-1.37643,-0.644975,-0.248192,4964.29,3302.98,0.99987
"log_lik[30,2,25]",-0.900122,0.0062413,0.445425,0.411284,-1.72707,-0.826067,-0.313373,5281.69,3484.89,0.999803
"log_lik[30,2,26]",-0.132054,0.00126245,0.0875898,0.0750261,-0.297823,-0.113239,-0.0287273,5757.69,3593.84,1.0008
"log_lik[30,2,27]",-0.0198422,0.000402334,0.021178,0.0132134,-0.0635381,-0.0125047,-0.00104748,4061.22,2712.58,1.0005
"log_lik[30,2,28]",-0.214141,0.0013258,0.0996005,0.0934186,-0.388585,-0.200931,-0.0777227,6477.64,3558.02,1.00109
"log_lik[30,2,29]",-0.221131,0.00151285,0.111066,0.0959939,-0.414586,-0.204067,-0.0778857,5937.15,3532.84,1.00041
"log_lik[30,2,30]",-0.204194,0.00121014,0.0920016,0.0871331,-0.369064,-0.193701,-0.0749435,6280.72,3570.37,1.00096
"log_lik[30,3,1]",-0.840766,0.000567424,0.0338147,0.0346669,-0.897936,-0.839701,-0.788607,3533.53,2668.05,1.0016
"log_lik[30,3,2]",-0.48976,0.00162589,0.0957627,0.0986982,-0.647118,-0.489577,-0.337154,3538.67,2767.04,1.00171
"log_lik[30,3,3]",-0.188256,0.00140258,0.0811522,0.0824237,-0.336477,-0.178397,-0.0761978,3320.72,2711.72,1.00155
"log_lik[30,3,4]",-0.0770189,0.000820394,0.0501307,0.0438339,-0.174739,-0.0658473,-0.0187796,3962.91,3472.09,1.00146
"log_lik[30,3,5]",-0.0345282,0.000504809,0.0297473,0.0212642,-0.0923322,-0.0258839,-0.00506827,3943.73,3496.64,1.00118
"log_lik[30,3,6]",-0.124332,0.00342088,0.0864529,0.0600346,-0.255343,-0.107494,-0.0359928,2272.08,1253.77,1.00195
"log_lik[30,3,7]",-0.050609,0.000660505,0.0387337,0.0297596,-0.127911,-0.0402736,-0.00906174,4022.32,3463.35,1.00127
"log_lik[30,3,8]",-0.0236578,0.00041646,0.0232705,0.0145442,-0.0698953,-0.01634,-0.00255786,3928.01,3368.63,1.00095
"log_lik[30,3,9]",-0.0122305,0.000296312,0.0148853,0.00730817,-0.0412253,-0.0072054,-0.00079747,3487.57,3231.37,1.00075
"log_lik[30,3,10]",-0.0516595,0.00315714,0.0707072,0.0289228,-0.139884,-0.0345319,-0.00617175,2360.33,1230.97,1.00072
"log_lik[30,3,11]",-0.167614,0.00429394,0.135733,0.0899891,-0.409996,-0.134736,-0.0358233,2536.1,1256.65,1.00099
"log_lik[30,3,12]",-0.063983,0.000895935,0.0532996,0.0387253,-0.169462,-0.048953,-0.00959439,4506.09,3424.21,1.00028
"log_lik[30,3,13]",-0.0284318,0.000488136,0.028881,0.0179439,-0.0851994,-0.0193277,-0.0027223,4330.42,3330.91,1.0003
"log_lik[30,3,14]",-0.107804,0.00295984,0.0963177,0.06446,-0.283309,-0.0825441,-0.0166949,2665.85,1422.86,1.00071
"log_lik[30,3,15]",-0.0431234,0.000676085,0.0406749,0.0271663,-0.123395,-0.0307825,-0.00464381,4503.94,3350.94,1.00018
"log_lik[30,3,16]",-0.154107,0.00305659,0.120996,0.0936601,-0.392607,-0.124359,-0.0269721,2960.63,1837.39,1.00066
"log_lik[30,3,17]",-0.431259,0.00426278,0.244373,0.234736,-0.904779,-0.387506,-0.119092,3866.65,2313.05,1.00089
"log_lik[30,3,18]",-1.00089,0.00747758,0.429239,0.409656,-1.76617,-0.946957,-0.422037,2820.44,1443.32,0.999858
"log_lik[30,3,19]",-0.445007,0.00450498,0.257399,0.243969,-0.937721,-0.398224,-0.121586,3868.65,2303.16,1.00091
"log_lik[30,3,20]",-0.323464,0.00400068,0.202328,0.184815,-0.717186,-0.28115,-0.078434,3372.83,1990.05,1.00079
"log_lik[30,3,21]",-0.931552,0.00749415,0.439732,0.424525,-1.72514,-0.876151,-0.341447,2934.21,1624.47,0.999942
"log_lik[30,3,22]",-0.420499,0.00439285,0.267102,0.244763,-0.929127,-0.369248,-0.0971149,3380.21,2319.28,0.99968
"log_lik[30,3,23]",-0.182196,0.00230412,0.142181,0.11631,-0.456289,-0.146702,-0.0298833,4127.79,3139.95,0.999771
"log_lik[30,3,24]",-0.0805432,0.00120474,0.0730734,0.0524774,-0.230126,-0.0592556,-0.0101309,4170.42,3335.77,0.999955
"log_lik[30,3,25]",-0.0376951,0.000648385,0.0387555,0.0247187,-0.113672,-0.0257674,-0.00374388,3803.73,3111.41,0.999728
"log_lik[30,3,26]",-0.0189759,0.000389175,0.0219099,0.0118993,-0.0616161,-0.0117161,-0.00148525,3217.98,3219.76,1.00078
"log_lik[30,3,27]",-0.0103268,0.000289196,0.0134619,0.00617643,-0.035013,-0.0057844,-0.000630387,2892.64,2364.05,1.00141
"log_lik[30,3,28]",-0.00607775,0.000235165,0.00911089,0.00333136,-0.02137,-0.0029859,-0.000278107,2639.42,2031.92,1.00187
"log_lik[30,3,29]",-0.0285013,0.00325165,0.0628575,0.0147738,-0.0719745,-0.0169818,-0.00300674,2063.39,1191.43,1.00205
"log_lik[30,3,30]",-0.0964332,0.00420716,0.093541,0.0448334,-0.206451,-0.0759693,-0.0245771,2038.84,1153.27,1.00138
"log_lik[30,4,1]",-0.756793,0.000713864,0.040401,0.0350413,-0.831112,-0.749425,-0.707489,3691.03,2955.83,1.00038
"log_lik[30,4,2]",-0.112665,0.00139821,0.07701,0.067977,-0.259996,-0.0957303,-0.0214868,3732.21,2406.9,1.0002
"log_lik[30,4,3]",-0.0328794,0.00072841,0.0362507,0.0218804,-0.102941,-0.0214309,-0.00207548,3599.75,2291.08,1.00026
"log_lik[30,4,4]",-0.0145643,0.000416168,0.0199447,0.00900339,-0.0520598,-0.00775047,-0.000453633,3566.78,2440.59,1.00028
"log_lik[30,4,5]",-0.0390549,0.000738609,0.0379217,0.0261206,-0.113856,-0.0276564,-0.00303189,3775.84,2451.57,1.00002
"log_lik[30,4,6]",-1.90899,0.00613706,0.330177,0.250619,-2.48529,-1.84176,-1.54362,3545.22,3126.46,1.00106
"log_lik[30,4,7]",-0.209441,0.00271388,0.156515,0.134964,-0.521515,-0.171351,-0.0297452,3857.13,2541.36,1.00012
"log_lik[30,4,8]",-0.0707081,0.00148929,0.0761324,0.0476195,-0.220987,-0.0460525,-0.00407043,3541.29,2405.19,1.00019
"log_lik[30,4,9]",-0.0302649,0.000833277,0.0405993,0.0188622,-0.102574,-0.0168413,-0.00119467,3311.8,2259.78,1.00031
"log_lik[30,4,10]",-0.0243052,0.000629525,0.030628,0.0157173,-0.0805418,-0.014481,-0.00109361,3278.32,2208.12,1.00033
"log_lik[30,4,11]",-0.0103266,0.000472049,0.0219175,0.00433985,-0.0424998,-0.00325218,-6.13463e-05,3798.61,2477.87,1.00032
"log_lik[30,4,12]",-0.00356228,0.000185855,0.00868319,0.00119686,-0.01573,-0.000857507,-1.23108e-05,3724.35,2347.48,1.00021
"log_lik[30,4,13]",-0.00289419,0.000153587,0.00709362,0.000975726,-0.012513,-0.000702428,-1.01935e-05,3539.68,2319.2,1.00023
"log_lik[30,4,14]",-0.00201752,0.000120595,0.00558559,0.000511785,-0.00868613,-0.000358011,-2.18509e-06,3878.41,2692.53,0.999925
"log_lik[30,4,15]",-0.000914183,6.04525e-05,0.00281738,0.000189154,-0.0040799,-0.000130762,-6.74942e-07,3798.06,2616.53,1.00012
"log_lik[30,4,16]",-0.000605109,4.14174e-05,0.00195206,0.000112808,-0.00273996,-7.78568e-05,-3.38725e-07,3768.29,2548.67,1.00014
"log_lik[30,4,17]",-0.000461166,3.19665e-05,0.00150183,7.97414e-05,-0.00205789,-5.48254e-05,-2.04658e-07,3735.83,2521.81,1.00014
"log_lik[30,4,18]",-0.00331469,0.000110638,0.00551046,0.00165347,-0.0138649,-0.00126819,-3.65338e-05,4138.74,2751.46,1.00001
"log_lik[30,4,19]",-4.36521,0.0170165,1.1769,1.10134,-6.51696,-4.22863,-2.71431,4741.3,3386.97,1.00199
"log_lik[30,4,20]",-0.0284517,0.000615673,0.0337249,0.0179303,-0.0906318,-0.0173848,-0.00167103,4260.35,3370.37,1.00015
"log_lik[30,4,21]",-0.00240932,9.12454e-05,0.0044416,0.00110345,-0.00980079,-0.000820682,-1.78952e-05,4032.6,2554.97,0.999822
"log_lik[30,4,22]",-0.00598057,0.000187914,0.0100547,0.0029343,-0.0246059,-0.00223199,-5.65756e-05,4287.73,2720.83,1.00037
"log_lik[30,4,23]",-0.00391222,0.00012706,0.0065579,0.00187806,-0.0166425,-0.00141447,-3.25493e-05,4341.18,2701.15,1.00028
"log_lik[30,4,24]",-0.00254067,9.03133e-05,0.00461641,0.00112782,-0.0111048,-0.000835869,-1.56807e-05,4230.16,2658.58,1.0001
"log_lik[30,4,25]",-0.0176596,0.000369718,0.0210038,0.0114408,-0.0591643,-0.0107189,-0.00086375,4556.25,2826.59,1.00025
"log_lik[30,4,26]",-0.0133758,0.000270399,0.0157599,0.00872569,-0.044837,-0.00795561,-0.000610277,4601.55,3090.58,1.00024
"log_lik[30,4,27]",-0.0142322,0.000294939,0.0168251,0.00931534,-0.0467354,-0.00853181,-0.000668098,4527.76,3290.27,1.00047
"log_lik[30,4,28]",-0.0111371,0.000223849,0.0133306,0.00722576,-0.0382019,-0.00652071,-0.000482122,4842.13,3177.35,1.00067
"log_lik[30,4,29]",-0.0100578,0.000207489,0.0123501,0.00644574,-0.0354916,-0.005723,-0.000401334,4975.68,3378.21,1.0007
"log_lik[30,4,30]",-0.0109243,0.000218146,0.0130867,0.00714198,-0.037892,-0.00641277,-0.000473519,5071.47,3282.45,1.0013
"log_lik[31,1,1]",-0.837708,0.00103091,0.0637815,0.052398,-0.952258,-0.825494,-0.760303,3773.6,2954.93,1.00051
"log_lik[31,1,2]",-0.222281,0.00177136,0.102465,0.101855,-0.408725,-0.213232,-0.070453,3647.57,2990.76,1.00102
"log_lik[31,1,3]",-0.132537,0.00131578,0.0852194,0.0742264,-0.30258,-0.114297,-0.0304688,4519.88,2833.0,0.999847
"log_lik[31,1,4]",-0.0391457,0.000690812,0.0389689,0.0259193,-0.120517,-0.0269503,-0.00327499,4207.49,2665.83,1.00161
"log_lik[31,1,5]",-0.0172961,0.000404941,0.0216478,0.0110018,-0.0606629,-0.00995197,-0.000690609,4170.49,2732.87,1.00237
"log_lik[31,1,6]",-0.0142239,0.000327077,0.0180096,0.0086829,-0.0504424,-0.00793982,-0.000688045,4341.33,2999.04,1.00062
"log_lik[31,1,7]",-0.0666111,0.000909438,0.0496082,0.043789,-0.163314,-0.0557011,-0.0092258,3677.65,2691.99,1.00063
"log_lik[31,1,8]",-0.0456712,0.000674557,0.0382128,0.0297451,-0.122318,-0.0350358,-0.00590514,4017.33,2840.46,1.00011
"log_lik[31,1,9]",-0.0363435,0.000578743,0.0328598,0.0234727,-0.102911,-0.0262541,-0.00411648,4109.46,2483.36,1.00014
"log_lik[31,1,10]",-0.0253645,0.000470832,0.026573,0.0163616,-0.0784623,-0.0165776,-0.00197481,4058.93,2743.22,1.00012
"log_lik[31,1,11]",-0.00723454,0.000198263,0.0103005,0.0043421,-0.0259146,-0.0037263,-0.000217719,4049.35,2793.95,1.00043
"log_lik[31,1,12]",-0.0334437,0.000542417,0.030466,0.021143,-0.0962147,-0.0243872,-0.00410033,4007.87,3214.44,1.00029
"log_lik[31,1,13]",-0.0300029,0.000504622,0.0280678,0.0188593,-0.0865946,-0.0218191,-0.00353396,4040.96,3179.97,1.00004
"log_lik[31,1,14]",-0.152654,0.00186172,0.112625,0.0767956,-0.367053,-0.122879,-0.0382162,4303.12,2998.45,1.0009
"log_lik[31,1,15]",-0.0481315,0.000749718,0.0417782,0.0294331,-0.128207,-0.0366226,-0.00699244,3983.52,2606.05,0.999796
"log_lik[31,1,16]",-0.300663,0.00418936,0.247511,0.164826,-0.766656,-0.232604,-0.0644648,4483.52,3119.36,1.00054
"log_lik[31,1,17]",-0.986181,0.00736431,0.52247,0.466149,-2.00354,-0.875143,-0.354622,5387.76,2875.86,0.999936
"log_lik[31,1,18]",-0.254352,0.0021592,0.137332,0.116423,-0.524728,-0.225009,-0.0882836,4535.75,2839.33,1.00095
"log_lik[31,1,19]",-0.0684353,0.000725913,0.0440706,0.0396049,-0.155204,-0.0590082,-0.0148513,4076.53,3139.14,0.999739
"log_lik[31,1,20]",-0.311889,0.00217617,0.144684,0.13503,-0.59114,-0.2886,-0.122211,4762.13,3108.34,1.00066
"log_lik[31,1,21]",-1.10474,0.00716792,0.501549,0.49983,-2.01627,-1.04317,-0.402868,4979.5,3039.97,1.00029
"log_lik[31,1,22]",-0.38681,0.00245557,0.167657,0.180338,-0.688695,-0.369482,-0.141084,4764.32,2789.9,1.00081
"log_lik[31,1,23]",-1.08996,0.00518204,0.369693,0.373608,-1.72085,-1.07051,-0.52258,5140.53,2875.61,0.999749
"log_lik[31,1,24]",-1.0393,0.00450674,0.326554,0.335662,-1.58318,-1.02932,-0.520739,5289.78,3090.95,0.9996
"log_lik[31,1,25]",-1.03257,0.00466723,0.337813,0.348596,-1.5974,-1.02092,-0.498683,5254.88,3144.0,0.999728
"log_lik[31,1,26]",-0.300013,0.0023805,0.140678,0.103728,-0.569046,-0.270792,-0.135901,3489.31,3330.82,1.00102
"log_lik[31,1,27]",-0.310254,0.00198774,0.1312,0.121616,-0.557947,-0.288197,-0.136098,4663.28,3315.54,1.00006
"log_lik[31,1,28]",-1.72956,0.00984145,0.681197,0.690469,-2.917,-1.68019,-0.685849,5043.54,3488.16,1.00092
"log_lik[31,1,29]",-0.274032,0.00166971,0.10699,0.104865,-0.462506,-0.26044,-0.122451,4229.35,3253.48,0.999671
"log_lik[31,1,30]",-0.10213,0.00105657,0.066442,0.05885,-0.224395,-0.0894062,-0.0209926,4070.8,3391.01,0.999769
"log_lik[31,2,1]",-0.699164,0.000219574,0.0139745,0.000372133,-0.72601,-0.693398,-0.693147,3261.11,2812.47,1.00101
