,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,R_hat
"log_lik[4,2,1]",-1.07202,0.0036718,0.229477,0.228799,-1.46038,-1.06489,-0.706745,3877.15,3242.51,1.00059
"log_lik[4,2,2]",-0.371717,0.00221355,0.12979,0.130268,-0.605407,-0.358854,-0.179127,3654.7,3062.43,1.00118
"log_lik[4,2,3]",-0.366482,0.00160169,0.103764,0.105412,-0.542213,-0.364242,-0.197827,4236.53,3798.03,1.00039
"log_lik[4,2,4]",-0.101677,0.000973715,0.0608696,0.0556997,-0.221663,-0.0898258,-0.0246791,4134.13,3648.17,1.00024
"log_lik[4,2,5]",-0.0300534,0.000462181,0.0281434,0.0193568,-0.087837,-0.0216115,-0.0030789,4059.65,3613.72,1.00018
"log_lik[4,2,6]",-0.0355185,0.00058084,0.0338804,0.0220801,-0.106516,-0.0250292,-0.00363021,3848.46,3416.26,0.999987
"log_lik[4,2,7]",-0.0369503,0.000522786,0.0323378,0.0237518,-0.101167,-0.0275315,-0.00432218,4120.54,3511.34,1.00026
"log_lik[4,2,8]",-0.0447766,0.000658387,0.0384118,0.0281347,-0.122863,-0.0334655,-0.00565024,3806.93,3484.02,1.0001
"log_lik[4,2,9]",-0.0469631,0.000736382,0.0421158,0.0298363,-0.133223,-0.0345472,-0.00560524,3732.0,3169.19,1.00012
"log_lik[4,2,10]",-0.0458638,0.000618772,0.0380668,0.0294576,-0.122683,-0.0355375,-0.00607785,4081.71,3225.36,1.00021
"log_lik[4,2,11]",-0.0472832,0.000665939,0.0429553,0.030352,-0.133455,-0.0350634,-0.0049818,4371.95,3870.69,1.00025
"log_lik[4,2,12]",-0.139005,0.00169623,0.112089,0.0855067,-0.363058,-0.110977,-0.0201068,4451.91,3856.48,1.00019
"log_lik[4,2,13]",-0.136627,0.00127204,0.0839646,0.0738986,-0.295295,-0.120047,-0.0325688,4506.71,3821.16,1.00004
"log_lik[4,2,14]",-0.0347864,0.000480105,0.0307681,0.0224747,-0.0959079,-0.0259542,-0.00392679,4464.56,3594.27,1.00022
"log_lik[4,2,15]",-0.037875,0.000575283,0.0375221,0.0245232,-0.113379,-0.0262674,-0.00327551,4491.15,3743.69,1.00026
"log_lik[4,2,16]",-0.0427569,0.000794797,0.051547,0.0270076,-0.141979,-0.0258779,-0.00207096,4508.16,3893.62,1.00037
"log_lik[4,2,17]",-0.0110163,0.000251031,0.0160371,0.00634865,-0.0403031,-0.00542191,-0.000284822,4436.98,3756.29,1.00035
"log_lik[4,2,18]",-0.0188255,0.000380344,0.0244968,0.0114165,-0.0657457,-0.0102823,-0.000722961,4480.02,3678.98,1.0003
"log_lik[4,2,19]",-0.0514802,0.000795541,0.0522638,0.0328606,-0.154363,-0.0350456,-0.00440107,4531.18,3921.62,1.00012
"log_lik[4,2,20]",-0.0542629,0.000733131,0.0479411,0.0338424,-0.146352,-0.0400828,-0.00670429,4657.32,3744.8,1.0001
"log_lik[4,2,21]",-0.0641157,0.000881154,0.0549561,0.0394546,-0.16746,-0.048461,-0.00866644,4532.14,3273.28,1.00016
"log_lik[4,2,22]",-0.063002,0.000861168,0.0565563,0.0389317,-0.174704,-0.0463324,-0.00786016,4691.96,3851.96,1.00005
"log_lik[4,2,23]",0.0,,0.0,0.0,0.0,0.0,0.0,,,
"log_lik[4,2,24]",-0.136125,0.00181081,0.118718,0.0822767,-0.368668,-0.102943,-0.0193777,4662.25,3685.22,1.00014
"log_lik[4,2,25]",-0.135016,0.00164729,0.107831,0.0822492,-0.349189,-0.105796,-0.0206433,4746.72,3373.98,0.999771
"log_lik[4,2,26]",-0.143671,0.00178918,0.115829,0.0862829,-0.367213,-0.112513,-0.0224088,4765.97,3426.35,0.99964
"log_lik[4,2,27]",-0.396672,0.00374202,0.259007,0.216405,-0.908163,-0.337438,-0.0908629,4900.61,3524.39,1.00014
"log_lik[4,2,28]",-1.11031,0.00818931,0.549868,0.515483,-2.181,-1.01991,-0.378373,4428.99,3503.62,1.00055
"log_lik[4,2,29]",-1.13061,0.0080779,0.542212,0.509344,-2.17711,-1.04055,-0.399699,4432.82,3505.2,1.0005
"log_lik[4,2,30]",-0.175212,0.00270051,0.159707,0.111546,-0.482514,-0.128824,-0.0237694,3844.69,3311.97,1.00051
"log_lik[4,3,1]",-1.13409,0.00221237,0.130427,0.120491,-1.37288,-1.11591,-0.957307,3877.15,3242.51,1.00098
"log_lik[4,3,2]",-0.371717,0.00221355,0.12979,0.130268,-0.605407,-0.358854,-0.179127,3654.7,3062.43,1.00118
"log_lik[4,3,3]",-0.391714,0.00300027,0.171876,0.16675,-0.713019,-0.365858,-0.153083,3605.32,2937.22,1.0011
"log_lik[4,3,4]",-0.370706,0.00165713,0.102148,0.103147,-0.547038,-0.366348,-0.206917,3860.94,3682.83,1.00009
"log_lik[4,3,5]",-0.859135,0.00119554,0.0620996,0.0441867,-0.971251,-0.847198,-0.787397,2843.67,3128.5,1.00085
"log_lik[4,3,6]",-0.898473,0.0031299,0.178667,0.168637,-1.21529,-0.882432,-0.638352,3462.99,3215.92,1.00017
"log_lik[4,3,7]",-0.985058,0.0064808,0.369993,0.335008,-1.67194,-0.925026,-0.501153,3609.35,3157.59,1.00057
"log_lik[4,3,8]",-1.29434,0.00493621,0.274434,0.240048,-1.81183,-1.2399,-0.95229,3384.29,3098.37,1.00088
"log_lik[4,3,9]",-0.361452,0.00310845,0.173017,0.155818,-0.688289,-0.330018,-0.137482,3583.13,2924.91,1.00094
"log_lik[4,3,10]",-0.342799,0.00169927,0.103406,0.103715,-0.524941,-0.336751,-0.182136,3805.23,3583.03,1.00015
"log_lik[4,3,11]",-0.841253,0.00255515,0.132659,0.118398,-1.07152,-0.827322,-0.655843,2834.59,3124.29,1.00056
"log_lik[4,3,12]",-0.838252,0.00284144,0.150424,0.142925,-1.09363,-0.828547,-0.615,2922.72,3062.37,1.00038
"log_lik[4,3,13]",-0.251474,0.00189083,0.106293,0.104321,-0.452723,-0.237438,-0.102925,3367.57,3388.29,1.00083
"log_lik[4,3,14]",-0.24752,0.00155252,0.0924126,0.0884808,-0.410285,-0.237799,-0.112891,3666.07,3192.03,1.00035
"log_lik[4,3,15]",-0.0667321,0.000750179,0.0454117,0.0381482,-0.158384,-0.0560418,-0.0141742,3878.27,3516.63,1.00025
"log_lik[4,3,16]",-0.233872,0.00136375,0.0794594,0.0761582,-0.3753,-0.225512,-0.116525,3552.0,2855.14,1.00042
"log_lik[4,3,17]",-0.251883,0.00179802,0.0999274,0.0990673,-0.439094,-0.239134,-0.110619,3291.16,2998.35,1.00006
"log_lik[4,3,18]",-0.24441,0.00135757,0.0802492,0.0773947,-0.388352,-0.236694,-0.123674,3615.96,3523.24,1.0004
"log_lik[4,3,19]",-0.250584,0.00138471,0.0811986,0.0786134,-0.396806,-0.243167,-0.127889,3561.86,2973.67,1.00042
"log_lik[4,3,20]",-0.283831,0.00202934,0.109896,0.111079,-0.483852,-0.271704,-0.125263,3106.4,3114.58,0.999933
